config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,n_clusters_actual,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_size_min,cluster_size_max,cluster_size_ratio_max,n_singleton_clusters,n_small_clusters,n_rows,n_features_input,n_features_used,n_missing_imputed,explained_variance_ratio_sum,avg_assignment_confidence,min_assignment_confidence,entropy_of_assignment,ranking_score,notes
cfg_0257,with_chaos,identity,original,,gmm,6,6,0.21856097825097598,0.8917633957275187,408.8828595838411,1,234,0.5598086124401914,1,4,418,25,25,0,,0.9948434677162947,0.7068076373883659,0.018065898875019977,-0.18813596966556934,
cfg_0258,with_chaos,identity,original,,gmm,7,7,0.20467943607833025,0.90659214219025,489.4643826742972,2,214,0.5119617224880383,0,5,418,25,25,0,,0.9937430064503951,0.6478035423378913,0.020093547619623293,-0.10010979868969963,
cfg_0259,with_chaos,identity,original,,gmm,8,8,0.1711804405579932,0.896317675156314,448.2633196425119,1,225,0.5382775119617225,2,5,418,25,25,0,,0.996187879479729,0.5522601971116751,0.013034597657634013,-0.21622594869649675,
cfg_0260,with_chaos,identity,original,,agglomerative,2,2,0.9042401009375686,0.47521107767575554,457.59268989585007,8,410,0.9808612440191388,0,1,418,25,25,0,,,,,0.4706494265254836,
cfg_0261,with_chaos,identity,original,,agglomerative,3,3,0.9004968446006548,0.26800373949495077,470.63241857341285,1,410,0.9808612440191388,1,2,418,25,25,0,,,,,0.35235684365420933,
cfg_0262,with_chaos,identity,original,,agglomerative,4,4,0.44779700560569213,0.7012058247354952,458.9798054570643,1,278,0.6650717703349283,1,2,418,25,25,0,,,,,0.06701613353504288,
cfg_0263,with_chaos,identity,original,,agglomerative,5,5,0.48181098036322423,0.6536699680096748,472.096008199985,1,278,0.6650717703349283,1,2,418,25,25,0,,,,,0.15972828172681403,
cfg_0264,with_chaos,identity,original,,agglomerative,6,6,0.47169299508127827,0.6161772243078713,522.2029980057471,1,278,0.6650717703349283,1,3,418,25,25,0,,,,,0.16227071849546656,
cfg_0265,with_chaos,identity,original,,agglomerative,7,7,0.4739938793756406,0.5539055299600519,620.3777102278681,1,278,0.6650717703349283,1,4,418,25,25,0,,,,,0.21275040486970145,
cfg_0266,with_chaos,identity,original,,agglomerative,8,8,0.4780178392021586,0.553242495714659,666.4524806173953,1,278,0.6650717703349283,1,5,418,25,25,0,,,,,0.23147695869179785,
cfg_0267,with_chaos,identity,pca,2.0,gmm,2,2,0.7388445478533101,1.2259780546184669,176.29956453640412,38,380,0.9090909090909091,0,0,418,25,2,0,0.9983658751406226,0.9826426390932599,0.5147529456333652,0.04751858385936931,0.2340410731852724,
cfg_0268,with_chaos,identity,pca,2.0,gmm,3,3,0.4134860476366403,1.219702451272344,180.48674403700159,19,282,0.6746411483253588,0,1,418,25,2,0,0.9983658751406226,0.930096276530109,0.5104286133602666,0.18695828735684064,-0.07093434252049487,
cfg_0269,with_chaos,identity,pca,2.0,gmm,4,4,0.4092545385573296,1.0787059663683738,216.2266536256328,2,281,0.6722488038277512,0,2,418,25,2,0,0.9983658751406226,0.9292183768380865,0.5150954431496277,0.19233826725839623,-0.08507869526037373,
cfg_0270,with_chaos,identity,pca,2.0,gmm,5,5,0.408147542445774,0.878645665443881,178.08072275546638,1,281,0.6722488038277512,2,3,418,25,2,0,0.9983658751406226,0.9292183771701964,0.5150954445547217,0.1923382613813667,-0.22984629217914015,
cfg_0271,with_chaos,identity,pca,2.0,gmm,6,6,0.16450891881533464,1.0205665175723648,412.26608167756,2,176,0.42105263157894735,0,3,418,25,2,0,0.9983658751406226,0.8562316803391486,0.46570397389504703,0.34297813446904035,-0.08853147451907875,
cfg_0272,with_chaos,identity,pca,2.0,gmm,7,7,0.1520321291541343,1.1143169563960131,400.8903642234107,2,171,0.4090909090909091,0,4,418,25,2,0,0.9983658751406226,0.9032504933492175,0.5112852725413736,0.2606824951319322,-0.1355055486472253,
cfg_0273,with_chaos,identity,pca,2.0,gmm,8,8,0.14460184067281504,0.9540376304623412,412.49403430192035,1,168,0.4019138755980861,2,5,418,25,2,0,0.9983658751406226,0.900277135919966,0.49916365166332355,0.2670514654985045,-0.20216293930594265,
cfg_0274,with_chaos,identity,pca,2.0,agglomerative,2,2,0.9051252239042412,0.47427431643838913,459.1649239368816,8,410,0.9808612440191388,0,1,418,25,2,0,0.9983658751406226,,,,0.47252663930876027,
cfg_0275,with_chaos,identity,pca,2.0,agglomerative,3,3,0.901440410099391,0.26748360215589473,473.13815418256456,1,410,0.9808612440191388,1,2,418,25,2,0,0.9983658751406226,,,,0.35474875853563376,
cfg_0276,with_chaos,identity,pca,2.0,agglomerative,4,4,0.7730272753900828,0.7504032408585415,441.98360977649565,1,399,0.9545454545454546,1,3,418,25,2,0,0.9983658751406226,,,,0.15645183700663218,
cfg_0277,with_chaos,identity,pca,2.0,agglomerative,5,5,0.7621600697159071,0.47974898621300366,442.6353870959186,1,399,0.9545454545454546,1,4,418,25,2,0,0.9983658751406226,,,,0.1828861535125676,
cfg_0278,with_chaos,identity,pca,2.0,agglomerative,6,6,0.3960368854158033,0.6537683396394277,487.730605748685,1,274,0.6555023923444976,1,4,418,25,2,0,0.9983658751406226,,,,0.017319473442234834,
cfg_0279,with_chaos,identity,pca,2.0,agglomerative,7,7,0.4000645208222301,0.5594156658824163,567.9970315262245,1,274,0.6555023923444976,1,5,418,25,2,0,0.9983658751406226,,,,0.07120387076295676,
cfg_0280,with_chaos,identity,pca,2.0,agglomerative,8,8,0.41494952372737176,0.5936196338659054,652.1507514616609,1,211,0.5047846889952153,1,5,418,25,2,0,0.9983658751406226,,,,0.235179487583921,
