run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set,n_test_series,achieved_metric,best_single_metric,oracle_metric,improvement_vs_best_single,gap_to_oracle,routing_hit_oracle_rate,classification_accuracy,top2_hit_rate,status,notes
meta_modeling_experiments_v1_20260331T185531Z,2,10015,classification,catboost_classifier,1,directional_accuracy,full_features,top_6,20,0.603921954078861,0.6690067158951191,0.6696418784967451,-0.06508476181625825,0.06571992441788425,0.0,0.0,0.0,success,
meta_modeling_experiments_v1_20260331T185531Z,2,10015,scoring,ridge,1,directional_accuracy,full_features,top_6,20,0.6690067158951191,0.6690067158951191,0.6696418784967451,0.0,0.0006351626016260215,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,2,10015,scoring,random_forest,1,directional_accuracy,full_features,top_6,20,0.6690067158951191,0.6690067158951191,0.6696418784967451,0.0,0.0006351626016260215,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,2,10015,scoring,catboost,1,directional_accuracy,full_features,top_6,20,0.6690067158951191,0.6690067158951191,0.6696418784967451,0.0,0.0006351626016260215,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,regression,ridge,1,directional_accuracy,full_features,top_6,20,0.6658285688218478,0.6658285688218478,0.6662350728868885,0.0,0.00040650406504065263,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,regression,random_forest,1,directional_accuracy,full_features,top_6,20,0.6658285688218478,0.6658285688218478,0.6662350728868885,0.0,0.00040650406504065263,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,regression,catboost,1,directional_accuracy,full_features,top_6,20,0.6658285688218478,0.6658285688218478,0.6662350728868885,0.0,0.00040650406504065263,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,classification,logistic_regression,1,directional_accuracy,full_features,top_6,20,0.6658285688218478,0.6658285688218478,0.6662350728868885,0.0,0.00040650406504065263,0.95,0.95,1.0,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,classification,random_forest_classifier,1,directional_accuracy,full_features,top_6,20,0.6658285688218478,0.6658285688218478,0.6662350728868885,0.0,0.00040650406504065263,0.95,0.95,1.0,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,classification,catboost_classifier,1,directional_accuracy,full_features,top_6,20,0.601515203353405,0.6658285688218478,0.6662350728868885,-0.06431336546844273,0.06471986953348337,0.0,0.0,0.0,success,
