run_id,repeat_id,split_seed,horizon,target_metric,meta_model,n_test_series,best_single_model,achieved_mean_metric,oracle_mean_metric,best_single_mean_metric,regret_to_oracle_mean,improvement_vs_best_single_mean,routing_hit_oracle_rate,target_vector_mae,target_vector_rmse,status,notes
meta_modeling_v1_20260331T120829Z,3,19988,20,rmse,catboost,20,naive_zero,0.1972282716690349,0.19307832310165146,0.19478329556650434,0.004149948567383438,-0.002444976102530587,0.0,0.10602848508518985,0.5569907198047697,success,
meta_modeling_v1_20260331T120829Z,1,42,20,directional_accuracy,ridge,20,transient_chaotic_esn,0.5058416513906907,0.5355157372323727,0.5069232546871755,0.02967408584168208,-0.0010816032964849314,0.2,0.026101061305006258,0.033615430677025715,success,
meta_modeling_v1_20260331T120829Z,1,42,20,directional_accuracy,random_forest,20,transient_chaotic_esn,0.5126952710713576,0.5355157372323727,0.5069232546871755,0.0228204661610151,0.005772016384182052,0.3,0.024422850817896052,0.03279794808818463,success,
meta_modeling_v1_20260331T120829Z,1,42,20,directional_accuracy,catboost,20,transient_chaotic_esn,0.503774845323765,0.5355157372323727,0.5069232546871755,0.031740891908607606,-0.003148409363410451,0.25,0.024890634698160507,0.03339160569811715,success,
meta_modeling_v1_20260331T120829Z,2,10015,20,directional_accuracy,ridge,20,transient_chaotic_esn,0.49578516578129717,0.5372482043531569,0.4975844562019763,0.04146303857185979,-0.0017992904206791671,0.15,0.029657671737434305,0.037446735330629255,success,
meta_modeling_v1_20260331T120829Z,2,10015,20,directional_accuracy,random_forest,20,transient_chaotic_esn,0.49423929654662907,0.5372482043531569,0.4975844562019763,0.043008907806527816,-0.003345159655347191,0.1,0.02977420920457957,0.036331945677254125,success,
meta_modeling_v1_20260331T120829Z,2,10015,20,directional_accuracy,catboost,20,transient_chaotic_esn,0.49148318192738144,0.5372482043531569,0.4975844562019763,0.045765022425775445,-0.006101274274594818,0.15,0.030780316743165486,0.037897969188917816,success,
meta_modeling_v1_20260331T120829Z,3,19988,20,directional_accuracy,ridge,20,transient_chaotic_esn,0.4817962632266487,0.5090728564646974,0.4913402720442569,0.027276593238048652,-0.009544008817608257,0.05,0.034257446516426523,0.04512957229031447,success,
meta_modeling_v1_20260331T120829Z,3,19988,20,directional_accuracy,random_forest,20,transient_chaotic_esn,0.4832154218683112,0.5090728564646974,0.4913402720442569,0.02585743459638621,-0.008124850175945813,0.15,0.0335143138558953,0.04233008546025785,success,
meta_modeling_v1_20260331T120829Z,3,19988,20,directional_accuracy,catboost,20,transient_chaotic_esn,0.4763223656088078,0.5090728564646974,0.4913402720442569,0.032750490855889505,-0.01501790643544911,0.05,0.03389374823368716,0.04356354893737703,success,
