run_id,repeat_id,split_seed,horizon,target_metric,meta_model,series_id,selected_model,oracle_model,best_single_model,achieved_metric,oracle_metric,baseline_metric,regret_to_oracle,improvement_vs_best_single,routing_hit_oracle,predicted_metric_vector,actual_metric_vector,target_model_order,count_models,count_features
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:BRZL,esn,chaotic_lstm_forecast,esn,0.5313131313131313,0.5474747474747474,0.5313131313131313,0.016161616161616155,0.0,0,"[0.5099903815159281, 0.48049557951882077, 0.5079404868694872, 0.5005903584596355, 0.5222224555196692, 0.4893718839671697, 0.47982021374445694, 0.003360068215270979, 0.5016736576125135, 0.5174771828140862, 0.4799990928834577]","[0.5257575757575758, 0.4616161616161616, 0.5474747474747474, 0.503030303030303, 0.5313131313131313, 0.5383838383838384, 0.5383838383838384, 0.0, 0.5156565656565657, 0.5257575757575758, 0.4823232323232323]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:CHGZ,esn,chaotic_mlp,esn,0.4827207899067471,0.48985189248491495,0.4827207899067471,0.007131102578167847,0.0,0,"[0.5008579189033269, 0.46767092599177684, 0.5027047798586803, 0.47800193635860255, 0.5154314306524586, 0.4787192094012218, 0.5001254313226665, 0.019102328576399423, 0.5079219090175559, 0.5061845384226089, 0.4616247091060835]","[0.47723532638507954, 0.4728469555677455, 0.4816236972024136, 0.48985189248491495, 0.4827207899067471, 0.4728469555677455, 0.4728469555677455, 0.015907844212835986, 0.48930334613274823, 0.4810751508502468, 0.4821722435545804]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:CHMK,esn,esn,esn,0.5328282828282829,0.5328282828282829,0.5328282828282829,0.0,0.0,1,"[0.5002069629497977, 0.485411297735223, 0.49635828080594224, 0.49464316935209, 0.5158310990613615, 0.48157510600256714, 0.4765353159692975, 0.00547990868639011, 0.4946744720067135, 0.5084017000757153, 0.48698784627864766]","[0.5131313131313131, 0.49292929292929294, 0.5141414141414141, 0.5267676767676768, 0.5328282828282829, 0.5070707070707071, 0.5065656565656566, 0.000505050505050505, 0.5186868686868686, 0.5196969696969697, 0.5045454545454545]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:CNTL,esn,transient_chaotic_esn,esn,0.5373737373737374,0.5424242424242425,0.5373737373737374,0.005050505050505083,0.0,0,"[0.5162122452703373, 0.48236885737848323, 0.5006950815544231, 0.5034378264413147, 0.5277451115773794, 0.48727859085153497, 0.4914919223671264, 0.004422150557996902, 0.511312865665566, 0.5219058329609475, 0.48678956272202906]","[0.509090909090909, 0.4580808080808081, 0.4868686868686869, 0.5358585858585858, 0.5373737373737374, 0.5343434343434343, 0.5404040404040404, 0.0015151515151515152, 0.5353535353535354, 0.5424242424242425, 0.4888888888888889]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:DIOD,esn,esn,esn,0.5171717171717172,0.5171717171717172,0.5171717171717172,0.0,0.0,1,"[0.5116413724587408, 0.4759041874045054, 0.5032386852332443, 0.4970716622823643, 0.5246195632734278, 0.4859473190255076, 0.4895845513433606, 0.005783102692082015, 0.5082080391282876, 0.5192042592792908, 0.4779219886986442]","[0.4893939393939394, 0.48484848484848486, 0.48484848484848486, 0.4702020202020202, 0.5171717171717172, 0.48383838383838385, 0.48484848484848486, 0.0030303030303030303, 0.4767676767676768, 0.49747474747474746, 0.48434343434343435]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:ELFV,esn,esn,esn,0.5191919191919192,0.5191919191919192,0.5191919191919192,0.0,0.0,1,"[0.5126133066901231, 0.4922907872316496, 0.4896681978087615, 0.5063312765858734, 0.5265789351258285, 0.4967131784740148, 0.48521000607380105, 0.004214515151412645, 0.5039607598702387, 0.5261185360338998, 0.498167009494516]","[0.5075757575757576, 0.48434343434343435, 0.5151515151515151, 0.48282828282828283, 0.5191919191919192, 0.48383838383838385, 0.48434343434343435, 0.00101010101010101, 0.4909090909090909, 0.5136363636363637, 0.4803030303030303]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:GMKN,transient_chaotic_esn,transient_chaotic_esn,esn,0.5277777777777778,0.5277777777777778,0.5242424242424243,0.0,0.0035353535353535026,1,"[0.5015385990859142, 0.4993842043473837, 0.49534148121161553, 0.5049142432860325, 0.5186552992568999, 0.5037020714008543, 0.4835592115028793, 0.007372746596909251, 0.501722510730685, 0.5246107744132891, 0.5064958289904092]","[0.5212121212121212, 0.4707070707070707, 0.4767676767676768, 0.4893939393939394, 0.5242424242424243, 0.4707070707070707, 0.4707070707070707, 0.0, 0.5116161616161616, 0.5277777777777778, 0.4732323232323232]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:IRKT,esn,vanilla_mlp,esn,0.4858585858585859,0.5535353535353535,0.4858585858585859,0.06767676767676767,0.0,0,"[0.5129595859539166, 0.47571871604969085, 0.5003436730011823, 0.4949563709686714, 0.5273521584519018, 0.4911932517869555, 0.4907620035764538, 0.005856573090052299, 0.5047563590313525, 0.5231355787764389, 0.47581386293965533]","[0.494949494949495, 0.4409090909090909, 0.43686868686868685, 0.4383838383838384, 0.4858585858585859, 0.4383838383838384, 0.4409090909090909, 0.00101010101010101, 0.47575757575757577, 0.49696969696969695, 0.5535353535353535]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:JNOS,transient_chaotic_esn,naive_mean,esn,0.4984848484848485,0.5151515151515151,0.5055555555555555,0.016666666666666663,-0.007070707070707061,0,"[0.5005626570331404, 0.4877637827345077, 0.49155975032656685, 0.5021386017736416, 0.5160208778084321, 0.4940296697110266, 0.4829053499727516, 0.00960821155329581, 0.5032224240968683, 0.5179511557917462, 0.49539828441524614]","[0.49343434343434345, 0.47575757575757577, 0.5136363636363637, 0.5141414141414141, 0.5055555555555555, 0.5121212121212121, 0.5151515151515151, 0.00909090909090909, 0.49646464646464644, 0.4984848484848485, 0.4575757575757576]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,5,directional_accuracy,ridge,RU:JNOSP,esn,transient_chaotic_esn,esn,0.5308080808080808,0.5378787878787878,0.5308080808080808,0.007070707070707005,0.0,0,"[0.5141271478211817, 0.48683008354767554, 0.504521620135596, 0.5079628412443372, 0.5265276774962044, 0.49305397691364383, 0.49280981767487003, 0.003103112123667918, 0.5078316973986642, 0.5229685919347531, 0.4884697279787232]","[0.5141414141414141, 0.4717171717171717, 0.5212121212121212, 0.5166666666666667, 0.5308080808080808, 0.5237373737373737, 0.5252525252525253, 0.0030303030303030303, 0.5272727272727272, 0.5378787878787878, 0.47373737373737373]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
