horizon,target_metric,candidate_set,top_k,candidate_rank,model_name,mean_metric,win_count,gap_to_best,relative_gap_to_best,is_close_to_best
5,directional_accuracy,top_4,4,2,transient_chaotic_esn,0.5263421250062124,53,0.0030413592502864795,0.005745096590155179,1
5,directional_accuracy,top_4,4,3,chaotic_esn,0.5151268425203679,27,0.014256641736130948,0.026930650766625104,1
5,directional_accuracy,top_4,4,4,ridge_lag,0.5095921545475675,2,0.019791329708931382,0.037385619872005706,1
5,directional_accuracy,top_5,5,1,esn,0.5293834842564988,109,0.0,0.0,1
5,directional_accuracy,top_5,5,2,transient_chaotic_esn,0.5263421250062124,53,0.0030413592502864795,0.005745096590155179,1
5,directional_accuracy,top_5,5,3,chaotic_esn,0.5151268425203679,27,0.014256641736130948,0.026930650766625104,1
5,directional_accuracy,top_5,5,4,ridge_lag,0.5095921545475675,2,0.019791329708931382,0.037385619872005706,1
5,directional_accuracy,top_5,5,5,chaotic_mlp,0.5033628894382394,19,0.026020594818259468,0.04915263810091188,1
5,directional_accuracy,top_6,6,1,esn,0.5293834842564988,109,0.0,0.0,1
5,directional_accuracy,top_6,6,2,transient_chaotic_esn,0.5263421250062124,53,0.0030413592502864795,0.005745096590155179,1
5,directional_accuracy,top_6,6,3,chaotic_esn,0.5151268425203679,27,0.014256641736130948,0.026930650766625104,1
5,directional_accuracy,top_6,6,4,ridge_lag,0.5095921545475675,2,0.019791329708931382,0.037385619872005706,1
5,directional_accuracy,top_6,6,5,chaotic_mlp,0.5033628894382394,19,0.026020594818259468,0.04915263810091188,1
5,directional_accuracy,top_6,6,6,naive_mean,0.5015937052662436,18,0.027789778990255254,0.05249460894928571,0
20,directional_accuracy,top_3,3,1,esn,0.5098160641405055,24,0.0,0.0,1
20,directional_accuracy,top_3,3,2,transient_chaotic_esn,0.5096805570536526,20,0.00013550708685294843,0.0002657960319108396,1
20,directional_accuracy,top_3,3,3,chaotic_esn,0.508412327911193,31,0.0014037362293125577,0.002753417022429657,1
20,directional_accuracy,top_4,4,1,esn,0.5098160641405055,24,0.0,0.0,1
20,directional_accuracy,top_4,4,2,transient_chaotic_esn,0.5096805570536526,20,0.00013550708685294843,0.0002657960319108396,1
20,directional_accuracy,top_4,4,3,chaotic_esn,0.508412327911193,31,0.0014037362293125577,0.002753417022429657,1
20,directional_accuracy,top_4,4,4,naive_mean,0.5081621152139679,10,0.001653948926537585,0.003244207161902525,1
20,directional_accuracy,top_5,5,1,esn,0.5098160641405055,24,0.0,0.0,1
20,directional_accuracy,top_5,5,2,transient_chaotic_esn,0.5096805570536526,20,0.00013550708685294843,0.0002657960319108396,1
20,directional_accuracy,top_5,5,3,chaotic_esn,0.508412327911193,31,0.0014037362293125577,0.002753417022429657,1
20,directional_accuracy,top_5,5,4,naive_mean,0.5081621152139679,10,0.001653948926537585,0.003244207161902525,1
20,directional_accuracy,top_5,5,5,chaotic_logistic_net,0.5070168610413456,86,0.0027992030991599304,0.005490613764552677,1
20,directional_accuracy,top_6,6,1,esn,0.5098160641405055,24,0.0,0.0,1
20,directional_accuracy,top_6,6,2,transient_chaotic_esn,0.5096805570536526,20,0.00013550708685294843,0.0002657960319108396,1
20,directional_accuracy,top_6,6,3,chaotic_esn,0.508412327911193,31,0.0014037362293125577,0.002753417022429657,1
20,directional_accuracy,top_6,6,4,naive_mean,0.5081621152139679,10,0.001653948926537585,0.003244207161902525,1
20,directional_accuracy,top_6,6,5,chaotic_logistic_net,0.5070168610413456,86,0.0027992030991599304,0.005490613764552677,1
20,directional_accuracy,top_6,6,6,lstm_forecast,0.5069924757034632,16,0.0028235884370423348,0.005538445403446826,1
