run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set,series_id,predicted_top1_model,predicted_top2_model,confidence,class_probability_json
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:GMKN,chaotic_esn,esn,0.9847128027098879,"{""chaotic_esn"": 0.9847128027098879, ""esn"": 0.015287197290112032, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:IRKT,chaotic_esn,esn,0.991943177626298,"{""chaotic_esn"": 0.991943177626298, ""esn"": 0.008056822373702019, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:JNOS,chaotic_esn,esn,0.9919550176131868,"{""chaotic_esn"": 0.9919550176131868, ""esn"": 0.008044982386813176, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:JNOSP,chaotic_esn,esn,0.983796977828794,"{""chaotic_esn"": 0.983796977828794, ""esn"": 0.01620302217120594, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:KCHE,chaotic_esn,esn,0.9945748850277707,"{""chaotic_esn"": 0.9945748850277707, ""esn"": 0.005425114972229257, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:KMAZ,chaotic_esn,esn,0.9985572479088687,"{""chaotic_esn"": 0.9985572479088687, ""esn"": 0.0014427520911312894, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:KOGK,chaotic_esn,esn,0.9936579778448048,"{""chaotic_esn"": 0.9936579778448048, ""esn"": 0.006342022155195151, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:KUBE,chaotic_esn,esn,0.9959490742913034,"{""chaotic_esn"": 0.9959490742913034, ""esn"": 0.004050925708696558, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:LSRG,chaotic_esn,esn,0.9978658212819691,"{""chaotic_esn"": 0.9978658212819691, ""esn"": 0.0021341787180309208, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,1,rmse,full_features,top_4,RU:MISB,chaotic_esn,esn,0.9900893468166337,"{""chaotic_esn"": 0.9900893468166337, ""esn"": 0.009910653183366204, ""ridge_lag"": 0.0, ""transient_chaotic_esn"": 0.0}"
