model,horizon,target_metric,candidate_set,feature_set,balancing_mode,decision_rule,confidence_threshold,n_repeats,achieved_metric_mean,achieved_metric_std,best_single_metric_mean,oracle_metric_mean,improvement_mean,gap_mean,routing_hit_oracle_rate_mean,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,weighted_f1_mean,top2_hit_rate_mean,fallback_rate_mean
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,balanced,confidence_fallback_0.80,0.8,5,0.5121866146335673,0.00520008950629212,0.5116589904239268,0.5280364880130625,0.0005276242096404878,0.015849873379495262,0.24,0.24,0.2584174159174159,0.11184249104260324,0.11982825317446495,0.4133333333333333,0.9766666666666666
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,balanced,top_1,,5,0.5135046901091215,0.00411693235858618,0.5116589904239268,0.5280364880130625,0.0018456996851946802,0.01453179790394107,0.38,0.38,0.32271540959040956,0.3143674014748031,0.37139261813936286,0.6433333333333333,0.0
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,default,confidence_fallback_0.50,0.5,5,0.5141523058670326,0.007385610386612135,0.5116589904239268,0.5280364880130625,0.0024933154431057937,0.013884182146029957,0.35,0.35,0.29484265734265735,0.23319340877666672,0.3072967303275429,0.55,0.6333333333333333
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,default,confidence_fallback_0.60,0.6,5,0.5148246643441914,0.005998802977786868,0.5116589904239268,0.5280364880130625,0.003165673920264559,0.013211823668871192,0.32666666666666666,0.32666666666666666,0.29103771228771225,0.20158126164533025,0.2680854766804023,0.5066666666666666,0.7766666666666666
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,default,confidence_fallback_0.70,0.7,5,0.5139474287597778,0.00594546325147188,0.5116589904239268,0.5280364880130625,0.002288438335851073,0.014089059253284677,0.2833333333333333,0.2833333333333333,0.2728144771894772,0.16779769547649784,0.2142423639267515,0.45,0.8800000000000001
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,default,confidence_fallback_0.80,0.8,5,0.5126529096158279,0.005569476056178264,0.5116589904239268,0.5280364880130625,0.0009939191919010055,0.015383578397234745,0.25,0.25,0.26224858474858476,0.12848969279516947,0.1467020891064273,0.4066666666666666,0.9533333333333334
catboost_classifier,20,directional_accuracy,top_4,full_plus_basic_features,default,top_1,,5,0.5135102283161561,0.005634853724708963,0.5116589904239268,0.5280364880130625,0.0018512378922293086,0.01452625969690644,0.41,0.41,0.3129941586191586,0.2927948313614405,0.37244468016375165,0.6566666666666666,0.0
catboost_classifier,20,directional_accuracy,top_4,selected_features,balanced,confidence_fallback_0.50,0.5,5,0.514266371316835,0.005141966394699821,0.5116589904239268,0.5280364880130625,0.00260738089290828,0.013770116696227469,0.31333333333333335,0.31333333333333335,0.2784124209124209,0.20737722777216203,0.27167789157243105,0.5166666666666667,0.7166666666666666
catboost_classifier,20,directional_accuracy,top_4,selected_features,balanced,confidence_fallback_0.60,0.6,5,0.5140949892719201,0.00637504891880176,0.5116589904239268,0.5280364880130625,0.0024359988479933222,0.01394149874114243,0.2966666666666667,0.2966666666666667,0.27924242424242424,0.17901875490709104,0.23251393741568496,0.47000000000000003,0.8466666666666667
catboost_classifier,20,directional_accuracy,top_4,selected_features,balanced,confidence_fallback_0.70,0.7,5,0.5134685749544435,0.0056324227409583014,0.5116589904239268,0.5280364880130625,0.001809584530516744,0.014567913058619006,0.26999999999999996,0.26999999999999996,0.2684453046953047,0.15231544746940692,0.18736380371268635,0.4366666666666667,0.9166666666666666
catboost_classifier,20,directional_accuracy,top_4,selected_features,balanced,confidence_fallback_0.80,0.8,5,0.5122476800674737,0.005009277186196785,0.5116589904239268,0.5280364880130625,0.0005886896435468842,0.015788807945588866,0.24333333333333332,0.24333333333333332,0.2593881118881119,0.11787428896356018,0.12901889449798848,0.4033333333333333,0.9633333333333333
catboost_classifier,20,directional_accuracy,top_4,selected_features,balanced,top_1,,5,0.5139772535624404,0.006568561412354076,0.5116589904239268,0.5280364880130625,0.0023182631385135614,0.014059234450622191,0.4,0.4,0.33769161394161396,0.33067039806310505,0.39367213165465376,0.6366666666666667,0.0
catboost_classifier,20,directional_accuracy,top_4,selected_features,default,confidence_fallback_0.50,0.5,5,0.51465181991699,0.006906121276109183,0.5116589904239268,0.5280364880130625,0.002992829493063236,0.013384668096072517,0.33666666666666667,0.33666666666666667,0.2803005328005328,0.2107608826754957,0.2889782103237225,0.54,0.6333333333333333
catboost_classifier,20,directional_accuracy,top_4,selected_features,default,confidence_fallback_0.60,0.6,5,0.5149472295699183,0.0059719655440068214,0.5116589904239268,0.5280364880130625,0.0032882391459915727,0.01308925844314418,0.31666666666666665,0.31666666666666665,0.28202047952047954,0.19935694813684285,0.26623096685810166,0.5,0.7766666666666666
catboost_classifier,20,directional_accuracy,top_4,selected_features,default,confidence_fallback_0.70,0.7,5,0.513868022580642,0.006317845066880626,0.5116589904239268,0.5280364880130625,0.002209032156715198,0.014168465432420554,0.29,0.29,0.2777251914751915,0.1716015803294208,0.21957212583280272,0.4533333333333333,0.8733333333333334
catboost_classifier,20,directional_accuracy,top_4,selected_features,default,confidence_fallback_0.80,0.8,5,0.5128747194834717,0.0055184605739283365,0.5116589904239268,0.5280364880130625,0.0012157290595448498,0.015161768529590901,0.26,0.26,0.2688253413253413,0.13925450984653776,0.1622928163495199,0.4166666666666667,0.9400000000000001
