scope,horizon,feature,pearson_corr_mean,spearman_corr_mean,mean_abs_change,median_abs_change,coefficient_of_variation_mean,psi_mean,n_series,stability_score
RU,20,correlation_dimension,0.5131787467530996,0.5366370471633629,0.9209831264366568,0.7630680586323857,0.2581307834510557,0.8067085044157372,209,0.48339508277002324
RU,20,embedding_dimension,0.06549264921145502,0.05135441439017752,1.9298245614035088,2.0,0.2240415506658032,0.6961542494908213,209,0.0053446243823463
RU,20,selected_delay_tau,0.1251032272444855,0.14083740300894665,1.2599681020733653,1.0,0.28617278218389436,0.19335870182709267,209,0.1168608288083973
US,1,hurst_rs,0.7783632756918033,0.709246455299087,0.027224499771282308,0.021591056281558108,0.03964657647837329,0.2082738812012861,209,0.696850432415104
US,1,hurst_dfa,0.7721575879464889,0.7235987696514012,0.039657013040963474,0.030116884852757708,0.06407027784886526,0.15309929077977735,209,0.7127402912199692
US,1,acf_lag_2,0.8386559845680607,0.8277275356222725,0.022249587418479138,0.015877335205098292,1.6139503796968624,0.2109906763510557,209,0.7364804828198767
US,1,acf_lag_5,0.8087565610669148,0.7977044884939621,0.025163741305356348,0.018764411471104053,3.0177457768521476,0.28903692417747845,209,0.6323653534424808
US,1,acf_lag_10,0.8505048965800931,0.8170176314913157,0.020949478936148375,0.015145757026988105,2.0108335744261123,0.2329871950180157,209,0.7048265930191093
US,1,acf_lag_25,0.8513206950542207,0.8496293180503708,0.022334391688101148,0.01676591622640299,1.5089913348520458,0.4796137019917744,209,0.7501990662081798
US,1,acf_lag_50,0.7456444167733562,0.7473386262859948,0.017791177604090182,0.012260307949264453,3.653900001457536,0.12974548030899183,209,0.5581563521976685
US,1,acf_lag_100,0.6965720805698554,0.6688754228227912,0.017993465415726086,0.013316686784042412,2.0894471206620824,0.198798336257254,209,0.5544631499768244
US,1,abs_acf_lag_2,0.7516451615595866,0.7521206863312125,0.03717580989097369,0.02809933517418367,0.2116833598448367,0.09604809514436946,209,0.7367341135817522
US,1,abs_acf_lag_5,0.7277320858940346,0.7542348002874318,0.03259394119205782,0.02466839768935155,0.40469529012832933,0.05754618880876063,209,0.7311227263405773
US,1,abs_acf_lag_10,0.74156473142456,0.7538833973044499,0.03376773812417927,0.025642418464314587,0.8579241639862226,0.1256660742879865,209,0.7047038853907394
